day,hour,weather,is_workday,flow
0,0,晴,1,261
0,1,晴,1,375
0,2,晴,1,372
0,3,雨,1,432
0,4,晴,1,318
0,5,晴,1,392
0,6,晴,1,585
0,7,晴,1,1199
0,8,晴,1,1265
0,9,晴,1,1063
0,10,晴,1,743
0,11,晴,1,632
0,12,晴,1,524
0,13,晴,1,461
0,14,晴,1,464
0,15,晴,1,649
0,16,晴,1,675
0,17,晴,1,1032
0,18,晴,1,1181
0,19,晴,1,1076
0,20,晴,1,979
0,21,晴,1,669
0,22,雪,1,530
0,23,雪,1,571
1,0,晴,1,269
1,1,晴,1,223
1,2,雨,1,242
1,3,晴,1,281
1,4,晴,1,411
1,5,雨,1,505
1,6,雨,1,777
1,7,晴,1,1073
1,8,雨,1,1179
1,9,晴,1,1211
1,10,晴,1,888
1,11,晴,1,512
1,12,雨,1,431
1,13,雨,1,496
1,14,雨,1,632
1,15,晴,1,600
1,16,晴,1,725
1,17,晴,1,1040
1,18,晴,1,1086
1,19,晴,1,1128
1,20,雪,1,714
1,21,雨,1,454
1,22,晴,1,495
1,23,晴,1,467
2,0,雪,1,390
2,1,雨,1,442
2,2,雨,1,459
2,3,雨,1,365
2,4,晴,1,344
2,5,晴,1,404
2,6,雨,1,581
2,7,晴,1,1150
2,8,晴,1,1336
2,9,晴,1,1109
2,10,晴,1,718
2,11,雪,1,696
2,12,雪,1,513
2,13,晴,1,369
2,14,晴,1,521
2,15,晴,1,539
2,16,晴,1,795
2,17,晴,1,1024
2,18,晴,1,1227
2,19,晴,1,1044
2,20,晴,1,695
2,21,雨,1,635
2,22,晴,1,625
2,23,晴,1,612
3,0,晴,1,310
3,1,晴,1,423
3,2,晴,1,486
3,3,晴,1,421
3,4,晴,1,416
3,5,晴,1,336
3,6,晴,1,843
3,7,晴,1,1110
3,8,晴,1,1271
3,9,晴,1,1167
3,10,雨,1,903
3,11,晴,1,787
3,12,晴,1,399
3,13,晴,1,598
3,14,雨,1,562
3,15,晴,1,671
3,16,晴,1,775
3,17,晴,1,1112
3,18,晴,1,1213
3,19,晴,1,947
3,20,晴,1,816
3,21,晴,1,497
3,22,晴,1,574
3,23,雨,1,602
4,0,晴,1,280
